country,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49
South Sudan,0.34533802,0.112345,-0.28136998,0.41672,-0.36658,-0.30273,-0.19725499,0.1180435,0.831365,-0.59969,0.039289996,-0.56198,-0.25771248,-1.10323,-0.309645,0.33964002,0.634995,0.073983505,-0.011164993,0.77664,-0.48995,0.56451,0.5473235,0.341555,-0.12720498,-1.6424,0.81882,0.032279998,-0.361713,0.19166999,2.8186998,-0.056715004,-0.69954497,0.405725,0.347085,-0.52946997,-0.63278997,-0.47445,-0.77496505,0.21157502,-0.371445,0.2833215,0.632165,-1.25885,0.080885,0.577105,-0.55917,0.17803499,-0.43913,-0.95385504
Haiti,1.208,-0.39422,0.076247,-0.5776,-0.26879,-0.96093,0.027638,0.41102,0.47767,-0.31904,0.19448,-0.43112,0.44631,-0.17826,0.73239,-0.22624,-0.072338,-0.43748,0.43896,0.45918,-0.84996,0.65215,-0.31119,-0.56993,-0.11243,-0.73371,0.11744,-0.30646,0.19749,1.0164,1.7217,0.92439,-1.1682,-0.45583,-0.53858,0.54889,-0.54384,-0.60364,0.25466,-0.17073,-1.0062,1.0164,1.031,-1.7236,-0.80423,1.0266,-0.70905,-0.22228,-0.3726,-0.43786
Belgium,0.28962,-0.37887,-0.97663,0.019838,-0.97961,0.79907,0.10908,0.79106,-0.15738,-0.30476,1.0234,-0.95763,-0.60707,-0.38167,0.92968,0.22708,0.56678,-1.0038,-0.626,-0.0070412,0.51372,-0.2229,-0.21294,1.3628,-0.877,-1.0357,-0.12762,-0.41415,-0.56493,0.38149,1.6566,0.68424,-0.28076,0.51899,-0.061303,-0.67941,0.022433,0.84534,0.11892,-0.19788,1.0083,0.5456,1.8171,-1.5074,0.074819,1.0516,-0.43676,-0.21519,0.059401,-0.49498
Jordan,-0.067766,1.3374,0.46885,0.56762,0.78882,0.054231,-0.70562,0.30646,-0.030009,-0.17922,0.18456,0.041657,-1.0832,-0.40831,0.72563,1.0185,0.64158,-0.47875,0.12663,0.7247,0.020762,0.52991,0.2019,-0.12955,-0.056138,-1.457,0.73463,0.045322,0.36243,-0.19072,1.8135,0.36106,-0.31145,0.12494,0.36438,-0.1666,-0.11732,0.096942,-0.63866,0.72358,-0.027591,0.67767,-0.063789,-0.9655,0.15212,-0.09569,-0.58146,0.41611,-0.88047,-0.22795
Dominican Republic,-0.15500864,0.2935,-0.4063035,0.65820503,-0.034265,-0.446345,-0.40293,0.612835,-0.49256,-0.09142999,1.1976,-0.4127165,0.640055,0.2027015,0.42312,-0.51899403,-0.83916,-0.343555,0.33868,0.72396,-1.058775,-0.22045399,-0.54181004,0.234285,-0.39820498,-1.355905,0.37022498,-0.519505,-0.218345,-0.1621575,2.1474,0.221345,-0.76055,0.020713497,-0.435547,-0.018002799,-0.56458,-0.0663525,-0.080849975,0.060275003,-0.18283501,0.489145,1.199,-1.21803,-0.69398,0.89202,-0.687575,-0.43476,-0.416815,-1.12165
United Arab Emirates,0.057231676,0.45323765,-0.211231,0.37711334,0.5021767,-0.57821,-0.48406336,0.22107665,0.46722332,-0.18078999,0.41684437,-0.28012866,-0.191795,0.03433701,-0.114357,0.6407167,0.44589067,-0.44786298,-0.27457,1.0041734,0.28816333,0.12035033,0.45971334,0.25740266,-0.6884,-1.6436332,0.5053433,-0.27748132,-0.09438,0.50703937,2.4979,0.66179335,-0.27797332,0.28789666,-0.102466665,-0.47984335,-0.36648068,0.087960005,-1.2921866,0.24141999,0.21282667,-0.25735,0.5593067,-0.42282975,0.178352,0.65594,-1.3440334,0.76023334,-0.60510665,-0.68498665
Cuba,-0.093604,0.50806,-0.17568,0.61962,-0.65162,-1.0921,-0.11877,0.42463,0.31752,0.80837,0.5214,-0.0092062,0.52537,0.33207,0.69942,-0.67507,-0.5808,-0.67245,0.23742,0.48976,-0.90103,0.12241,0.032081,-0.50658,0.070364,-1.8252,1.1578,-0.31298,0.50013,-0.15252,2.0478,0.040124,-0.96593,-0.25804,-0.96169,-0.68567,-0.51045,0.42022,-0.80896,0.23058,-0.57546,0.37642,1.8614,-0.80437,-0.1745,0.33694,-0.77838,-0.61114,-0.76292,-0.30031
Honduras,0.025776,-0.12008,-0.46778,0.91172,-0.82152,-1.0299,0.20309,0.84792,-0.15284,0.34456,0.65511,-0.18379,0.69299,-0.0666,0.76619,-0.68271,-0.29297,-0.56831,0.21593,0.34563,-1.0355,-0.017263,0.27843,-0.10596,-0.46382,-0.55806,1.1082,0.20783,0.10579,-0.14372,1.3976,0.68293,-1.1017,-0.33462,-0.46274,0.15586,-0.59096,-0.30478,0.012783,-0.18551,-0.7279,0.69644,1.2361,-1.5225,-1.1657,0.8767,-0.69366,-0.32842,0.15277,-1.1336
Czechia,-0.089804,-0.34172,-0.30513,-0.5915,-0.81979,0.317,0.71245,0.053214,-0.085817,-0.062305,0.35087,-0.50252,0.60675,-0.25879,-0.23062,-0.19601,-0.25238,0.13844,0.69757,0.6161,-0.37325,-0.77451,-0.19751,0.96652,0.20264,0.7379,0.17111,0.49239,0.56221,-0.15454,-0.82965,-0.14795,0.18225,-0.069332,-0.78971,0.066014,-0.24003,-0.27909,-0.49683,0.19357,0.48537,-0.49974,0.36831,-0.69755,-0.10888,-0.015705,0.60414,-0.069856,0.0085296,0.10995
Sweden,-0.086848,-0.054822,-0.21686,0.48929,0.090268,1.2334,-0.078229,0.86243,-0.012906,-0.30699,1.7013,-0.92249,-0.55586,-0.20242,1.0713,0.88238,0.40502,-0.7269,-0.64816,0.7063,0.44183,-0.28527,-0.30205,1.0943,0.33587,-1.2768,-0.18621,-0.92921,-1.0308,-0.12491,1.8197,0.90442,0.43316,0.933,-0.11454,-0.65215,0.50676,1.0817,0.25296,0.13582,0.6853,0.26261,0.85791,-0.95491,-0.53974,1.3396,-0.34398,0.3375,-0.45213,-1.0352
Tajikistan,0.37101,0.26774,0.93438,0.78333,-0.13574,-0.69718,0.83966,0.20224,0.13058,-0.17305,0.96632,-1.2593,0.056284,0.10914,-0.066973,0.28235,-0.4831,0.55903,1.0198,1.4392,-0.89613,-0.2196,0.2202,0.22252,-0.39318,-0.91659,0.87924,0.1471,-0.019567,0.051017,1.157,0.83976,-0.63527,0.26552,-0.22351,0.49488,-1.1719,0.22407,-0.67199,0.69379,-0.46751,0.5948,0.9976,-1.5044,-0.30812,0.079709,-0.1148,0.64199,-0.69675,-1.6809
