,"2016","2016"
,"Mean BMI (kg/m&#xb2;) (age-standardized estimate)","Mean BMI (kg/m&#xb2;) (age-standardized estimate)"
,"18+  years","18+  years"
"United Kingdom","27.3 [26.9-27.7]","27.0 [26.6-27.4]"
"United Republic of Tanzania","22.3 [21.5-23.1]","24.1 [23.4-24.7]"
"USA","28.8 [28.3-29.4]","28.9 [28.3-29.5]"
"Uruguay","27.3 [26.2-28.5]","27.3 [26.0-28.6]"
"Uzbekistan","26.3 [25.5-27.1]","27.4 [26.5-28.3]"
"Vanuatu","25.6 [24.5-26.6]","26.8 [25.7-27.9]"
"Venezuela","26.6 [25.9-27.3]","26.8 [26.0-27.5]"
"Vietnam","21.9 [21.4-22.5]","21.9 [21.3-22.5]"
"Yemen","23.6 [22.5-24.7]","24.1 [23.2-24.9]"
"Zambia","21.3 [19.8-22.9]","23.7 [22.9-24.6]"
"Zimbabwe","22.2 [21.6-22.8]","25.3 [24.6-26.0]"
